id_seccion,municipio,renta_hogar,pct_vulnerabilidad_extranjera
080100801002 Artés distrito 020801002001 Artés sección 02001,Artés,40804.0,0.0
080100801002 Artés distrito 020801002001 Artés sección 02001,Artés,40804.0,0.0
080100801002 Artés distrito 020801002002 Artés sección 02002,Artés,42102.0,0.0
080100801002 Artés distrito 020801002002 Artés sección 02002,Artés,42102.0,0.0
080100801002 Artés distrito 020801002002 Artés sección 02002,Artés,42102.0,0.0
080100801002 Artés distrito 020801002003 Artés sección 02003,Artés,42845.0,0.0
080100801002 Artés distrito 020801002003 Artés sección 02003,Artés,42845.0,0.0
080100801002 Artés distrito 020801002003 Artés sección 02003,Artés,42845.0,0.0
080110801101 Avià distrito 010801101001 Avià sección 01001,Avià,42136.0,0.0
080110801101 Avià distrito 010801101001 Avià sección 01001,Avià,42136.0,0.0
080110801101 Avià distrito 010801101001 Avià sección 01001,Avià,42136.0,0.0
080120801201 Avinyó distrito 010801201001 Avinyó sección 01001,Avinyó,41303.0,0.0
080120801201 Avinyó distrito 010801201001 Avinyó sección 01001,Avinyó,41303.0,0.0
080120801201 Avinyó distrito 010801201001 Avinyó sección 01001,Avinyó,41303.0,0.0
080130801301 Avinyonet del Penedès distrito 010801301001 Avinyonet del Penedès sección 01001,Avinyonet del Penedès,41527.0,0.0
080130801301 Avinyonet del Penedès distrito 010801301001 Avinyonet del Penedès sección 01001,Avinyonet del Penedès,41527.0,0.0
080130801301 Avinyonet del Penedès distrito 010801301001 Avinyonet del Penedès sección 01001,Avinyonet del Penedès,41527.0,0.0
080140801401 Aiguafreda distrito 010801401001 Aiguafreda sección 01001,Aiguafreda,43125.0,0.0
080140801401 Aiguafreda distrito 010801401001 Aiguafreda sección 01001,Aiguafreda,43125.0,0.0
080140801401 Aiguafreda distrito 010801401001 Aiguafreda sección 01001,Aiguafreda,43125.0,0.0
080150801501 Badalona distrito 010801501001 Badalona sección 01001,Badalona,55788.0,0.0
080150801501 Badalona distrito 010801501001 Badalona sección 01001,Badalona,55788.0,0.0
080150801501 Badalona distrito 010801501001 Badalona sección 01001,Badalona,55788.0,0.0
080150801501 Badalona distrito 010801501002 Badalona sección 01002,Badalona,49164.0,0.0
080150801501 Badalona distrito 010801501002 Badalona sección 01002,Badalona,49164.0,0.0
080150801501 Badalona distrito 010801501002 Badalona sección 01002,Badalona,49164.0,0.0
080150801501 Badalona distrito 010801501003 Badalona sección 01003,Badalona,52896.0,0.0
080150801501 Badalona distrito 010801501003 Badalona sección 01003,Badalona,52896.0,0.0
080150801501 Badalona distrito 010801501003 Badalona sección 01003,Badalona,52896.0,0.0
080150801501 Badalona distrito 010801501004 Badalona sección 01004,Badalona,54055.0,0.0
080150801501 Badalona distrito 010801501004 Badalona sección 01004,Badalona,54055.0,0.0
080150801501 Badalona distrito 010801501004 Badalona sección 01004,Badalona,54055.0,0.0
080150801501 Badalona distrito 010801501005 Badalona sección 01005,Badalona,50905.0,0.0
080150801501 Badalona distrito 010801501005 Badalona sección 01005,Badalona,50905.0,0.0
080150801501 Badalona distrito 010801501005 Badalona sección 01005,Badalona,50905.0,0.0
080150801501 Badalona distrito 010801501007 Badalona sección 01007,Badalona,52722.0,0.0
080150801501 Badalona distrito 010801501007 Badalona sección 01007,Badalona,52722.0,0.0
080150801501 Badalona distrito 010801501007 Badalona sección 01007,Badalona,52722.0,0.0
080150801501 Badalona distrito 010801501008 Badalona sección 01008,Badalona,0.0,0.0
080150801501 Badalona distrito 010801501008 Badalona sección 01008,Badalona,0.0,0.0
080150801501 Badalona distrito 010801501008 Badalona sección 01008,Badalona,0.0,0.0
080150801502 Badalona distrito 020801502001 Badalona sección 02001,Badalona,43025.0,0.0
080150801502 Badalona distrito 020801502001 Badalona sección 02001,Badalona,43025.0,0.0
080150801502 Badalona distrito 020801502001 Badalona sección 02001,Badalona,43025.0,0.0
080150801502 Badalona distrito 020801502002 Badalona sección 02002,Badalona,52967.0,0.0
080150801502 Badalona distrito 020801502002 Badalona sección 02002,Badalona,52967.0,0.0
080150801502 Badalona distrito 020801502002 Badalona sección 02002,Badalona,52967.0,0.0
080150801502 Badalona distrito 020801502003 Badalona sección 02003,Badalona,49698.0,0.0
080150801502 Badalona distrito 020801502003 Badalona sección 02003,Badalona,49698.0,0.0
080150801502 Badalona distrito 020801502003 Badalona sección 02003,Badalona,49698.0,0.0
080150801502 Badalona distrito 020801502004 Badalona sección 02004,Badalona,55096.0,0.0
080150801502 Badalona distrito 020801502004 Badalona sección 02004,Badalona,55096.0,0.0
080150801502 Badalona distrito 020801502004 Badalona sección 02004,Badalona,55096.0,0.0
080150801502 Badalona distrito 020801502005 Badalona sección 02005,Badalona,35008.0,0.0
080150801502 Badalona distrito 020801502005 Badalona sección 02005,Badalona,35008.0,0.0
080150801502 Badalona distrito 020801502005 Badalona sección 02005,Badalona,35008.0,0.0
080150801502 Badalona distrito 020801502007 Badalona sección 02007,Badalona,30482.0,0.0
080150801502 Badalona distrito 020801502007 Badalona sección 02007,Badalona,30482.0,0.0
080150801502 Badalona distrito 020801502007 Badalona sección 02007,Badalona,30482.0,0.0
080150801502 Badalona distrito 020801502008 Badalona sección 02008,Badalona,49231.0,0.0
080150801502 Badalona distrito 020801502008 Badalona sección 02008,Badalona,49231.0,0.0
080150801502 Badalona distrito 020801502008 Badalona sección 02008,Badalona,49231.0,0.0
080150801502 Badalona distrito 020801502009 Badalona sección 02009,Badalona,26426.0,0.0
080150801502 Badalona distrito 020801502009 Badalona sección 02009,Badalona,26426.0,0.0
080150801502 Badalona distrito 020801502009 Badalona sección 02009,Badalona,26426.0,0.0
080150801502 Badalona distrito 020801502010 Badalona sección 02010,Badalona,32352.0,0.0
080150801502 Badalona distrito 020801502010 Badalona sección 02010,Badalona,32352.0,0.0
080150801502 Badalona distrito 020801502010 Badalona sección 02010,Badalona,32352.0,0.0
080150801502 Badalona distrito 020801502011 Badalona sección 02011,Badalona,33251.0,0.0
080150801502 Badalona distrito 020801502011 Badalona sección 02011,Badalona,33251.0,0.0
080150801502 Badalona distrito 020801502011 Badalona sección 02011,Badalona,33251.0,0.0
080150801502 Badalona distrito 020801502012 Badalona sección 02012,Badalona,33256.0,0.0
080150801502 Badalona distrito 020801502012 Badalona sección 02012,Badalona,33256.0,0.0
080150801502 Badalona distrito 020801502012 Badalona sección 02012,Badalona,33256.0,0.0
080150801502 Badalona distrito 020801502013 Badalona sección 02013,Badalona,31448.0,0.0
080150801502 Badalona distrito 020801502013 Badalona sección 02013,Badalona,31448.0,0.0
080150801502 Badalona distrito 020801502013 Badalona sección 02013,Badalona,31448.0,0.0
080150801502 Badalona distrito 020801502015 Badalona sección 02015,Badalona,29460.0,0.0
080150801502 Badalona distrito 020801502015 Badalona sección 02015,Badalona,29460.0,0.0
080150801502 Badalona distrito 020801502015 Badalona sección 02015,Badalona,29460.0,0.0
080150801503 Badalona distrito 030801503001 Badalona sección 03001,Badalona,38096.0,0.0
080150801503 Badalona distrito 030801503001 Badalona sección 03001,Badalona,38096.0,0.0
080150801503 Badalona distrito 030801503001 Badalona sección 03001,Badalona,38096.0,0.0
080150801503 Badalona distrito 030801503003 Badalona sección 03003,Badalona,42365.0,0.0
080150801503 Badalona distrito 030801503003 Badalona sección 03003,Badalona,42365.0,0.0
080150801503 Badalona distrito 030801503003 Badalona sección 03003,Badalona,42365.0,0.0
080150801503 Badalona distrito 030801503004 Badalona sección 03004,Badalona,51073.0,0.0
080150801503 Badalona distrito 030801503004 Badalona sección 03004,Badalona,51073.0,0.0
080150801503 Badalona distrito 030801503004 Badalona sección 03004,Badalona,51073.0,0.0
080150801503 Badalona distrito 030801503005 Badalona sección 03005,Badalona,44455.0,0.0
080150801503 Badalona distrito 030801503005 Badalona sección 03005,Badalona,44455.0,0.0
080150801503 Badalona distrito 030801503005 Badalona sección 03005,Badalona,44455.0,0.0
080150801503 Badalona distrito 030801503006 Badalona sección 03006,Badalona,52730.0,0.0
080150801503 Badalona distrito 030801503006 Badalona sección 03006,Badalona,52730.0,0.0
080150801503 Badalona distrito 030801503006 Badalona sección 03006,Badalona,52730.0,0.0
080150801503 Badalona distrito 030801503007 Badalona sección 03007,Badalona,53820.0,0.0
080150801503 Badalona distrito 030801503007 Badalona sección 03007,Badalona,53820.0,0.0
080150801503 Badalona distrito 030801503007 Badalona sección 03007,Badalona,53820.0,0.0
080150801503 Badalona distrito 030801503008 Badalona sección 03008,Badalona,43487.0,0.0
080150801503 Badalona distrito 030801503008 Badalona sección 03008,Badalona,43487.0,0.0
080150801503 Badalona distrito 030801503008 Badalona sección 03008,Badalona,43487.0,0.0
080150801503 Badalona distrito 030801503009 Badalona sección 03009,Badalona,46438.0,0.0
080150801503 Badalona distrito 030801503009 Badalona sección 03009,Badalona,46438.0,0.0
080150801503 Badalona distrito 030801503009 Badalona sección 03009,Badalona,46438.0,0.0
080150801503 Badalona distrito 030801503010 Badalona sección 03010,Badalona,31610.0,0.0
080150801503 Badalona distrito 030801503010 Badalona sección 03010,Badalona,31610.0,0.0
080150801503 Badalona distrito 030801503010 Badalona sección 03010,Badalona,31610.0,0.0
080150801503 Badalona distrito 030801503011 Badalona sección 03011,Badalona,42812.0,0.0
080150801503 Badalona distrito 030801503011 Badalona sección 03011,Badalona,42812.0,0.0
080150801503 Badalona distrito 030801503011 Badalona sección 03011,Badalona,42812.0,0.0
080150801503 Badalona distrito 030801503013 Badalona sección 03013,Badalona,61265.0,0.0
080150801503 Badalona distrito 030801503013 Badalona sección 03013,Badalona,61265.0,0.0
080150801503 Badalona distrito 030801503013 Badalona sección 03013,Badalona,61265.0,0.0
080150801503 Badalona distrito 030801503014 Badalona sección 03014,Badalona,56787.0,0.0
080150801503 Badalona distrito 030801503014 Badalona sección 03014,Badalona,56787.0,0.0
080150801503 Badalona distrito 030801503014 Badalona sección 03014,Badalona,56787.0,0.0
080150801503 Badalona distrito 030801503015 Badalona sección 03015,Badalona,58309.0,0.0
080150801503 Badalona distrito 030801503015 Badalona sección 03015,Badalona,58309.0,0.0
080150801503 Badalona distrito 030801503015 Badalona sección 03015,Badalona,58309.0,0.0
080150801504 Badalona distrito 040801504001 Badalona sección 04001,Badalona,41505.0,0.0
080150801504 Badalona distrito 040801504001 Badalona sección 04001,Badalona,41505.0,0.0
080150801504 Badalona distrito 040801504001 Badalona sección 04001,Badalona,41505.0,0.0
080150801504 Badalona distrito 040801504002 Badalona sección 04002,Badalona,42623.0,0.0
080150801504 Badalona distrito 040801504002 Badalona sección 04002,Badalona,42623.0,0.0
080150801504 Badalona distrito 040801504002 Badalona sección 04002,Badalona,42623.0,0.0
080150801504 Badalona distrito 040801504003 Badalona sección 04003,Badalona,43685.0,0.0
080150801504 Badalona distrito 040801504003 Badalona sección 04003,Badalona,43685.0,0.0
080150801504 Badalona distrito 040801504003 Badalona sección 04003,Badalona,43685.0,0.0
080150801504 Badalona distrito 040801504004 Badalona sección 04004,Badalona,43599.0,0.0
080150801504 Badalona distrito 040801504004 Badalona sección 04004,Badalona,43599.0,0.0
080150801504 Badalona distrito 040801504004 Badalona sección 04004,Badalona,43599.0,0.0
080150801504 Badalona distrito 040801504005 Badalona sección 04005,Badalona,40567.0,0.0
080150801504 Badalona distrito 040801504005 Badalona sección 04005,Badalona,40567.0,0.0
080150801504 Badalona distrito 040801504005 Badalona sección 04005,Badalona,40567.0,0.0
080150801504 Badalona distrito 040801504006 Badalona sección 04006,Badalona,40806.0,0.0
080150801504 Badalona distrito 040801504006 Badalona sección 04006,Badalona,40806.0,0.0
080150801504 Badalona distrito 040801504006 Badalona sección 04006,Badalona,40806.0,0.0
080150801504 Badalona distrito 040801504007 Badalona sección 04007,Badalona,44679.0,0.0
080150801504 Badalona distrito 040801504007 Badalona sección 04007,Badalona,44679.0,0.0
080150801504 Badalona distrito 040801504007 Badalona sección 04007,Badalona,44679.0,0.0
080150801504 Badalona distrito 040801504008 Badalona sección 04008,Badalona,39065.0,0.0
080150801504 Badalona distrito 040801504008 Badalona sección 04008,Badalona,39065.0,0.0
080150801504 Badalona distrito 040801504008 Badalona sección 04008,Badalona,39065.0,0.0
080150801504 Badalona distrito 040801504009 Badalona sección 04009,Badalona,41999.0,0.0
080150801504 Badalona distrito 040801504009 Badalona sección 04009,Badalona,41999.0,0.0
080150801504 Badalona distrito 040801504009 Badalona sección 04009,Badalona,41999.0,0.0
080150801504 Badalona distrito 040801504010 Badalona sección 04010,Badalona,32987.0,0.0
080150801504 Badalona distrito 040801504010 Badalona sección 04010,Badalona,32987.0,0.0
080150801504 Badalona distrito 040801504010 Badalona sección 04010,Badalona,32987.0,0.0
080150801504 Badalona distrito 040801504011 Badalona sección 04011,Badalona,39277.0,0.0
080150801504 Badalona distrito 040801504011 Badalona sección 04011,Badalona,39277.0,0.0
080150801504 Badalona distrito 040801504011 Badalona sección 04011,Badalona,39277.0,0.0
080150801504 Badalona distrito 040801504012 Badalona sección 04012,Badalona,42458.0,0.0
080150801504 Badalona distrito 040801504012 Badalona sección 04012,Badalona,42458.0,0.0
080150801504 Badalona distrito 040801504012 Badalona sección 04012,Badalona,42458.0,0.0
080150801504 Badalona distrito 040801504013 Badalona sección 04013,Badalona,42927.0,0.0
080150801504 Badalona distrito 040801504013 Badalona sección 04013,Badalona,42927.0,0.0
080150801504 Badalona distrito 040801504013 Badalona sección 04013,Badalona,42927.0,0.0
080150801504 Badalona distrito 040801504014 Badalona sección 04014,Badalona,57187.0,0.0
080150801504 Badalona distrito 040801504014 Badalona sección 04014,Badalona,57187.0,0.0
080150801504 Badalona distrito 040801504014 Badalona sección 04014,Badalona,57187.0,0.0
080150801504 Badalona distrito 040801504015 Badalona sección 04015,Badalona,40337.0,0.0
080150801504 Badalona distrito 040801504015 Badalona sección 04015,Badalona,40337.0,0.0
080150801504 Badalona distrito 040801504015 Badalona sección 04015,Badalona,40337.0,0.0
080150801504 Badalona distrito 040801504016 Badalona sección 04016,Badalona,50214.0,0.0
080150801504 Badalona distrito 040801504016 Badalona sección 04016,Badalona,50214.0,0.0
080150801504 Badalona distrito 040801504016 Badalona sección 04016,Badalona,50214.0,0.0
080150801504 Badalona distrito 040801504017 Badalona sección 04017,Badalona,55043.0,0.0
080150801504 Badalona distrito 040801504017 Badalona sección 04017,Badalona,55043.0,0.0
080150801504 Badalona distrito 040801504017 Badalona sección 04017,Badalona,55043.0,0.0
080150801505 Badalona distrito 050801505001 Badalona sección 05001,Badalona,53081.0,0.0
